*fondo*xbrl_ID*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*n_participaciones*n_participes*beneficio*patrimonio*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
10*1 KESSLER GLOBAL, FI*774b0532-654e-4cc3-b091-cd43436cd276*1 KESSLER CASADEVALL, FI*66247677*Semester 1 2016*2016-01-01*2016-06-30*4720*info@gvcgaesco.es*A-*7 (En una escala del 1 al 7)*0.37*0.0*1021123.97*99*0.0*10277881*10.0653*0.35*0.0*0.35*0.04*0.09*1.12*0.35
11*1 KESSLER GLOBAL, FI*35ec4355-3f69-490e-9c13-27fee9e1bb8b*1 KESSLER CASADEVALL, FI*66247677*Trimester 1 2016*2016-01-01*2016-03-31*4720*info@gvcgaesco.es*A-*7 (En una escala del 1 al 7)*0.35*0.0*1045712.02*101*0.0*10515905*10.0562*0.17*0.0*0.17*0.02*-0.66*2.75*0.33
12*1 KESSLER GLOBAL, FI*322162be-b4b7-4c15-ba76-83cd1c15a4d8*1 KESSLER GLOBAL FI*66247677*Semester 2 2017*2017-07-01*2017-12-31*4720*info@gvcgaesco.es*A-*7 (En una escala del 1 al 7)*0.23*-0.3*980276.91*96*0.0*9198746*9.3838*0.5*0.0*0.5*0.04*-2.37*1.87*0.38
13*1 KESSLER GLOBAL, FI*0898fdf3-89d9-438d-9d83-b0ee69a115f3*1 KESSLER GLOBAL FI*66247677*Trimester 3 2017*2017-07-01*2017-09-30*4720*info@gvcgaesco.es*A-*7 (En una escala del 1 al 7)*0.02*-0.3*1004532.69*97*0.0*9654785*9.6112*0.25*0.0*0.25*0.02*-1.46*1.93*0.38
14*1 KESSLER GLOBAL, FI*00b68628-2f49-4adc-adfc-279597c1563e*1 KESSLER GLOBAL FI*66247677*Semester 1 2017*2017-01-01*2017-06-30*4720*info@gvcgaesco.es*A-*7 (En una escala del 1 al 7)*0.0*-0.3*1018461.05*98*0.0*9933495*9.7534*0.43*0.0*0.43*0.04*-0.6*1.45*0.38
15*1 KESSLER GLOBAL, FI*3d26d951-7753-4ce7-80ac-d57b26c0c412*1 KESSLER GLOBAL FI*66247677*Trimester 1 2017*2017-01-01*2017-03-31*4720*info@gvcgaesco.es*A-*7 (En una escala del 1 al 7)*0.05*-0.3*993347.27*100*0.0*9746921*9.8122*0.18*0.0*0.18*0.02*-1.31*1.04*0.31
16*1 KESSLER GLOBAL, FI*1e1176ee-26a7-435c-8a00-47f8ebe1e97c*1 KESSLER GLOBAL FI*66247677*Semester 2 2018*2018-07-01*2018-12-31*4720*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.01*-0.3*931681.27*91*0.0*8605285*9.2363*0.5*0.0*0.5*0.04*4.7*7.36*0.39
17*1 KESSLER GLOBAL, FI*263ea460-6f70-4ac8-8a21-e29da354db63*1 KESSLER GLOBAL FI*66247677*Trimester 3 2018*2018-07-01*2018-09-30*4720*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.07*-0.3*1027954.13*92*0.0*9068304*8.8217*0.25*0.0*0.25*0.02*-3.02*2.43*0.39
18*1 KESSLER GLOBAL, FI*7bf8b9f7-ea81-4f5c-87ef-2e019d06fba6*1 KESSLER GLOBAL FI*66247677*Semester 1 2018*2018-01-01*2018-06-30*4720*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.12*-0.3*1030038.0*94*0.0*9369600*9.0964*0.5*0.0*0.5*0.04*-2.69*3.61*0.39
19*1 KESSLER GLOBAL, FI*f36cdbf1-35ab-4553-a835-516cf322cdff*1 KESSLER GLOBAL FI*66247677*Trimester 1 2018*2018-01-01*2018-03-31*4720*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.06*-0.3*1036921.15*94*0.0*9693000*9.348*0.25*0.0*0.25*0.02*-0.38*5.15*0.38
20*1 KESSLER GLOBAL, FI*3a39ba59-8bb0-43a5-8ae9-a813c67ce4bf*1 KESSLER GLOBAL FI*66247677*Semester 2 2019*2019-07-01*2019-12-31*4720*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.0*-0.4*432369.44*88*0.0*3453739*7.9879*0.51*0.0*0.51*0.04*-8.07*9.46*0.43
21*1 KESSLER GLOBAL, FI*ffd87881-d207-4f89-af2c-a63079496cf3*1 KESSLER GLOBAL FI*66247677*Trimester 3 2019*2019-07-01*2019-09-30*4720*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.0*-0.3*649367.53*89*0.0*5642385*8.689*0.25*0.0*0.25*0.02*-0.12*11.83*0.46
22*1 KESSLER GLOBAL, FI*46847287-5eee-4298-a135-210bfd3e2ef7*1 KESSLER GLOBAL FI*66247677*Semester 1 2019*2019-01-01*2019-06-30*4720*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.04*-0.3*850179.48*90*0.0*7396175*8.6995*0.5*0.0*0.5*0.04*-1.71*6.81*0.39
23*1 KESSLER GLOBAL, FI*9ae08f69-f6af-4a48-b7d6-b252ed2d0063*1 KESSLER GLOBAL FI*66247677*Trimester 1 2019*2019-01-01*2019-03-31*4720*info@gvcgaesco.es*A*7 (En una escala del 1 al 7)*0.0*-0.3*852379.42*91*0.0*7544242*8.8508*0.25*0.0*0.25*0.02*-4.17*4.34*0.4
